source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
PLN-00721,Complete the backlog burn and capacity model,Project burn curve,P-3114,2027-05,Approved case,Monthly burn share,0.17777777777777778,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00722,Complete the backlog burn and capacity model,Project burn curve,P-3114,2027-06,Approved case,Monthly burn share,0.2,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00723,Complete the backlog burn and capacity model,Signed contract backlog,P-3122,2026-06-30,Approved case,Remaining transaction price,4750000.0,,USD,Finance operating schedule,2026-06-30,
PLN-00724,Complete the backlog burn and capacity model,Signed contract backlog,P-3122,FY27,Approved case,Contract start month,,2026-12,classification,Finance operating schedule,2026-06-30,
PLN-00725,Complete the backlog burn and capacity model,Signed contract backlog,P-3122,FY27,Approved case,Execution probability,0.85,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00726,Complete the backlog burn and capacity model,Signed contract backlog,P-3122,FY27,Approved case,Revenue per productive hour,120.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00730,Complete the backlog burn and capacity model,Project burn curve,P-3122,2026-12,Approved case,Monthly burn share,0.03571428571428571,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00731,Complete the backlog burn and capacity model,Project burn curve,P-3122,2027-01,Approved case,Monthly burn share,0.07142857142857142,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00732,Complete the backlog burn and capacity model,Project burn curve,P-3122,2027-02,Approved case,Monthly burn share,0.10714285714285714,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00733,Complete the backlog burn and capacity model,Project burn curve,P-3122,2027-03,Approved case,Monthly burn share,0.14285714285714285,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00734,Complete the backlog burn and capacity model,Project burn curve,P-3122,2027-04,Approved case,Monthly burn share,0.17857142857142858,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00735,Complete the backlog burn and capacity model,Project burn curve,P-3122,2027-05,Approved case,Monthly burn share,0.21428571428571427,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00736,Complete the backlog burn and capacity model,Project burn curve,P-3122,2027-06,Approved case,Monthly burn share,0.25,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00737,Complete the backlog burn and capacity model,Signed contract backlog,P-3130,2026-06-30,Approved case,Remaining transaction price,7200.0,,USD thousands,Finance operating schedule,2026-06-30,
PLN-00738,Complete the backlog burn and capacity model,Signed contract backlog,P-3130,FY27,Approved case,Contract start month,,2027-01,classification,Finance operating schedule,2026-06-30,
PLN-00739,Complete the backlog burn and capacity model,Signed contract backlog,P-3130,FY27,Approved case,Execution probability,0.9,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00740,Complete the backlog burn and capacity model,Signed contract backlog,P-3130,FY27,Approved case,Revenue per productive hour,138.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00744,Complete the backlog burn and capacity model,Project burn curve,P-3130,2027-01,Approved case,Monthly burn share,0.047619047619047616,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00745,Complete the backlog burn and capacity model,Project burn curve,P-3130,2027-02,Approved case,Monthly burn share,0.09523809523809523,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00746,Complete the backlog burn and capacity model,Project burn curve,P-3130,2027-03,Approved case,Monthly burn share,0.14285714285714285,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00747,Complete the backlog burn and capacity model,Project burn curve,P-3130,2027-04,Approved case,Monthly burn share,0.19047619047619047,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00748,Complete the backlog burn and capacity model,Project burn curve,P-3130,2027-05,Approved case,Monthly burn share,0.23809523809523808,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00749,Complete the backlog burn and capacity model,Project burn curve,P-3130,2027-06,Approved case,Monthly burn share,0.2857142857142857,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00750,Complete the backlog burn and capacity model,Signed contract backlog,P-3138,2026-06-30,Approved case,Remaining transaction price,3900000.0,,USD,Finance operating schedule,2026-06-30,
PLN-00751,Complete the backlog burn and capacity model,Signed contract backlog,P-3138,FY27,Approved case,Contract start month,,2027-02,classification,Finance operating schedule,2026-06-30,
PLN-00752,Complete the backlog burn and capacity model,Signed contract backlog,P-3138,FY27,Approved case,Execution probability,1.0,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00753,Complete the backlog burn and capacity model,Signed contract backlog,P-3138,FY27,Approved case,Revenue per productive hour,125.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00757,Complete the backlog burn and capacity model,Project burn curve,P-3138,2027-02,Approved case,Monthly burn share,0.06666666666666667,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00758,Complete the backlog burn and capacity model,Project burn curve,P-3138,2027-03,Approved case,Monthly burn share,0.13333333333333333,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00759,Complete the backlog burn and capacity model,Project burn curve,P-3138,2027-04,Approved case,Monthly burn share,0.2,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00760,Complete the backlog burn and capacity model,Project burn curve,P-3138,2027-05,Approved case,Monthly burn share,0.26666666666666666,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00761,Complete the backlog burn and capacity model,Project burn curve,P-3138,2027-06,Approved case,Monthly burn share,0.3333333333333333,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00762,Complete the backlog burn and capacity model,Signed contract backlog,P-3145,2026-06-30,Approved case,Remaining transaction price,5100000.0,,USD,Finance operating schedule,2026-06-30,
PLN-00763,Complete the backlog burn and capacity model,Signed contract backlog,P-3145,FY27,Approved case,Contract start month,,2027-03,classification,Finance operating schedule,2026-06-30,
PLN-00764,Complete the backlog burn and capacity model,Signed contract backlog,P-3145,FY27,Approved case,Execution probability,0.8,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00765,Complete the backlog burn and capacity model,Signed contract backlog,P-3145,FY27,Approved case,Revenue per productive hour,145.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00769,Complete the backlog burn and capacity model,Project burn curve,P-3145,2027-03,Approved case,Monthly burn share,0.1,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00770,Complete the backlog burn and capacity model,Project burn curve,P-3145,2027-04,Approved case,Monthly burn share,0.2,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00771,Complete the backlog burn and capacity model,Project burn curve,P-3145,2027-05,Approved case,Monthly burn share,0.3,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00772,Complete the backlog burn and capacity model,Project burn curve,P-3145,2027-06,Approved case,Monthly burn share,0.4,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00773,Complete the backlog burn and capacity model,Signed contract backlog,P-3152,2026-06-30,Approved case,Remaining transaction price,2850.0,,USD thousands,Finance operating schedule,2026-06-30,
PLN-00774,Complete the backlog burn and capacity model,Signed contract backlog,P-3152,FY27,Approved case,Contract start month,,2027-04,classification,Finance operating schedule,2026-06-30,
PLN-00775,Complete the backlog burn and capacity model,Signed contract backlog,P-3152,FY27,Approved case,Execution probability,1.0,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00776,Complete the backlog burn and capacity model,Signed contract backlog,P-3152,FY27,Approved case,Revenue per productive hour,130.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00780,Complete the backlog burn and capacity model,Project burn curve,P-3152,2027-04,Approved case,Monthly burn share,0.16666666666666666,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00781,Complete the backlog burn and capacity model,Project burn curve,P-3152,2027-05,Approved case,Monthly burn share,0.3333333333333333,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00782,Complete the backlog burn and capacity model,Project burn curve,P-3152,2027-06,Approved case,Monthly burn share,0.5,,decimal ratio,Finance operating schedule,2026-06-30,
